"finding_id","evaluator(s)","artefact","engagement_type","severity","category","title","evidence","expected","framework_refs","recommendation","effort","owner_hint","confidence"
"lifecycle-exercises-001","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","critical","completeness-gap","Authorization phase still implicit: no named legal sign-off, no kill-switch / abort criteria, no safe-words","Initiation describes WT selection and critical-asset information sharing but no Authorization artefact: no signer named, no kill-switch / abort criteria, no safe-words.","An Authorization subsection (post-Initiation / pre-Targeted TI): sign-off authorities, RoE, safe-words, abort criteria, Control Team and TLPT Authority for TLPT.","TIBER-EU:TIBER-EU v2 §4; DORA-TLPT:DORA Art. 26(2)","Critical for TLPT defensibility.","M","Red team lead + Legal/Risk + Control Team","high"
"lifecycle-operations-001","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","critical","completeness-gap","Authorization phase implicit: no legal sign-off, no RoE artefact, no safe-words, no kill-switch / abort criteria","Operations jumps from Research & Preparation directly to Red Team Test. 'Anything is in scope' wording. No Authorization phase naming a sign-off authority, RoE artefact, safe-words, kill-switch, or abort criteria.","An Authorization phase between Research & Preparation and Red Team Test: sign-off authority, RoE, safe-words, abort/kill-switch.","TIBER-EU:TIBER-EU v2 §4; PTES:PTES Pre-engagement","Tier 1.2 work.","M","Red team lead + Legal/Risk","high"
"lifecycle-physoc-001","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","critical","safety-or-opsec","Operator safety protocol still absent: no scheduled check-ins, no abort/kill-switch wording, no emergency contacts","Physical engagements carry physical-safety risk to operators. No check-in cadence, no abort word, no documented emergency contacts (medical, legal, in-country).","An 'Operator safety protocol' subsection: scheduled check-in cadence; abort/kill-switch; emergency contacts (medical, legal, in-country POC); evacuation procedure.","OTHER:internal corpus consistency","Critical for operator welfare and engagement defensibility.","M","Red team lead + Legal/HR","high"
"lifecycle-threatscenarios-001","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","critical","completeness-gap","Authorization phase still absent: no legal sign-off, no RoE artefact, no kill-switch, no safe-words, no abort criteria","Planning section names a codename, scope and threat actors but does not name an authoriser, an RoE artefact, kill-switch conditions, safe-words, or abort criteria. Threat Scenarios touch production tools — uncontrolled abort risk.","An Authorization subsection in Planning naming: who signs off; RoE artefact location; named kill-switch / abort conditions; safe-words; who can invoke them.","TIBER-EU:TIBER-EU v2 §4; PTES:PTES Pre-engagement","Add an Authorization subsection (Tier 1.2 work).","M","Red team lead + Legal/Risk","high"
"lifecycle-rtmeth-001","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","critical","completeness-gap","Authorization chain, kill-switch and safe-words still not defined in the methodology","v0.6 added Codename theme and Purple-Team reference but no Authorization chain section.","An 'Authorization and Engagement Controls' section: legal sign-off; RoE template + storage; safe-words; abort/kill-switch; escalation; WT relationship.","TIBER-EU:TIBER-EU v2 §4; DORA-TLPT:DORA Art. 26(2); TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26-27 + RTS on TLPT; OTHER:internal corpus consistency","Tier 1.2 work. Critical for DORA Art. 26-27 defensibility.","L","Red team lead + Legal/Risk","high"
"coherence-001","corpus-coherence","workdir/methodology-docs-redteam-methodology-v0-6-docx","cross-cutting","high","internal-inconsistency","Naming drift: 'One Note' in methodology v0.6 OPLOGS section; three SOPs already fixed to 'OneNote'","redteam-methodology v0.6 OPLOGS line 129 -> 'members can use One Note' || TS v1.4, Ops v1.3, Ex v1.4 use 'OneNote'.","Align all artefacts to 'OneNote'.","OTHER:internal corpus consistency","Single find/replace in the methodology.","S","Red team lead","high"
"coherence-003","corpus-coherence","workdir/engagements-2-exercises-docs-exercises-process-v1-4-docx","cross-cutting","high","internal-inconsistency","Acronym conflict: 'WT PoC' / 'RT PoC' in Exercises v1.4 Deconfliction; Operations v1.3 was rewritten to full form","exercises v1.4 line 82 -> 'WT PoC to contact the RT PoC' || operations v1.3 line 52 (same passage) -> 'WT Point of Contact to contact the RT Point of Contact'.","Align to 'WT Point of Contact' / 'RT Point of Contact'. PoC canonical = Proof of Concept; never abbreviate Point of Contact to PoC.","OTHER:internal corpus consistency","Same find/replace as applied to Operations.","S","Red team lead","high"
"lifecycle-operations-002","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","high","internal-inconsistency","Section opens 'two main teams' but describes three (RT, BT, WT)","Line 17: 'two main teams to be considered' but section describes RT, BT, WT.","Either 'three main teams' or reword to clarify WT as coordination/authorisation role.","OTHER:internal corpus consistency","Wording fix.","S","Red team lead","high"
"lifecycle-physoc-003","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","high","scope-gap","'VRC' acronym used in Questionnaire section without expansion","Line 46: 'team's VRC' — curated vocab expands to Vulnerability Rating & Categorization but doc itself doesn't expand on first use.","Expand VRC on first use in the Questionnaire section.","OTHER:internal corpus consistency","Single text fix.","S","Red team lead","high"
"lifecycle-exercises-002","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","high","regulatory-misalignment","TIBER-EU role mapping (TLPT Authority, Control Team, TI Provider, RT Provider) not made explicit in Initiation","Doc lists RT, BT, WT and a TI Team but does not map them to TIBER-EU role taxonomy at engagement-start. The Purple-Team Close-Out subsection mentions 'RT Provider, TI Provider, Control Team and the financial entity' but only at attestation time.","An explicit TIBER-EU role mapping in Initiation, naming who plays each external role within Euronext.","TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26-27","Add the role-mapping paragraph.","M","Red team lead + Legal/Risk","high"
"lifecycle-physoc-002","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","high","completeness-gap","Authorization chain not described at engagement level","Get-out-of-jail letter handles on-site challenges but does not constitute engagement-level Authorization (signer authority, scope of authority, kill-switch, who can stop).","An Authorization phase at engagement level, modelled on the methodology Authorization chain.","OTHER:internal corpus consistency","Same Tier 1.2 work.","M","Red team lead + Legal/Risk","high"
"lifecycle-threatscenarios-002","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","high","completeness-gap","No Teams & Responsibilities section: WT, BT and TI roles not defined for Threat Scenarios","Unlike Operations and Exercises SOPs, the TS SOP has no Teams & Responsibilities section. BT is mentioned as collaborative but the WT/BT/TI RACI is undefined.","Add a Teams & Responsibilities section modelled on Operations_Process, with explicit BT participation rules and a tool/system owner role per scenario.","OTHER:internal corpus consistency","Add the section.","M","Red team lead + Blue team lead","high"
"tlpt-exercises-001","tiber-dora-alignment","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","high","regulatory-misalignment","TIBER-EU role taxonomy not explicitly mapped to internal roles","Methodology says 'TIBER-Like' but neither methodology nor Exercises_Process maps external roles to internal RACI.","Role-mapping table in Exercises_Process Initiation or methodology Regulatory mapping subsection.","TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26(2)","Critical for TLPT defensibility.","M","Red team lead + Legal/Risk","high"
"tlpt-rtmeth-001","tiber-dora-alignment","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","high","regulatory-misalignment","Methodology does not expand TLPT / TIBER-EU / CBEST or map engagement types to regulator-mandated tests","Same finding framed for regulator defensibility. TIBER-Like is the only hint.","Explicit Regulatory mapping section.","TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26-27","Add Regulatory mapping.","M","Red team lead + Legal/Risk","high"
"coherence-002","corpus-coherence","workdir/engagements-1-operations-docs-operations-process-v1-3-docx","cross-cutting","medium","naming-convention","Naming drift: 'Bloodhound' (lowercase 'h') in Ops v1.3; BH v0.3 already uses 'BloodHound' canonical","operations v1.3 Research & Preparation line 123 -> 'our Bloodhound Enterprise instance' / 'evaluate findings from Bloodhound' || BH v0.3 uses 'BloodHound' / 'BloodHound Enterprise' throughout.","Align to 'BloodHound' / 'BloodHound Enterprise'.","OTHER:internal corpus consistency","Single find/replace.","S","Red team lead","high"
"coherence-005","corpus-coherence","workdir/methodology-docs-redteam-methodology-v0-6-docx","cross-cutting","medium","missing-evidence","Cross-reference 'Purple Teaming Process document' (unversioned) — doc now exists but reference is not version-pinned","redteam-methodology v0.6 line 19 -> 'These engagements should follow the Purple Teaming Process document.' || Purple_Teaming_Process_v0.1.docx exists at inputs/Engagements/3. Purple Teaming/docs/. Four SOPs (TS, Ops, Ex, PhysSoc) all also use unversioned references in their Purple-Team Close-Out subsections.","Pin the cross-reference: 'Purple_Teaming_Process_v0.1.docx'. Five files affected (methodology + 4 SOPs).","OTHER:internal corpus consistency","Single edit per file.","S","Red team lead","high"
"coherence-006","corpus-coherence","workdir/engagements-3-purple-teaming-docs-purple-teaming-process-v0-1-docx","cross-cutting","medium","completeness-gap","New Purple Teaming Process doc uses 'vX.docx' placeholders in References","purpleteam-process v0.1 References -> 'RedTeam_Methodology_vX.docx' / 'ThreatScenarios_Process_vX.docx' / 'Operations_Process_vX.docx' / 'Exercises_Process_vX.docx' || sibling docs at v0.6 / v1.4 / v1.3 / v1.4.","Pin all references to specific filenames and versions on next revision.","OTHER:internal corpus consistency","Bulk find/replace.","S","Red team lead","high"
"coherence-007","corpus-coherence","workdir/methodology-docs-redteam-methodology-v0-6-docx","cross-cutting","medium","completeness-gap","Methodology index incomplete: does not reference PhysSoc, Research Methodology, or BloodHound process docs","redteam-methodology v0.6 Introduction lists TS / Operations / Exercises / Purple Team only. Corpus has PhysicalSocial v1.1, Research_Methodology v0.4, BloodHoundEnterprise v0.3 — none mentioned.","Add an 'Index of process documents' subsection naming every doc with pinned versions.","OTHER:internal corpus consistency","Single subsection addition.","S","Red team lead","high"
"lifecycle-exercises-003","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","medium","internal-inconsistency","'WT PoC' / 'RT PoC' still used in Exercises Deconfliction — Operations was rewritten, Exercises missed","Line 82 still has 'WT PoC' / 'RT PoC' abbreviated form. Operations was edited to spell out 'WT Point of Contact' / 'RT Point of Contact'.","Same spell-out as Operations.","OTHER:internal corpus consistency","Single find/replace.","S","Red team lead","high"
"lifecycle-exercises-004","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","medium","completeness-gap","Purple Team Close-Out cross-reference unversioned","Same as TS and Ops: 'see Purple Teaming Process documentation' should be pinned.","Pin to Purple_Teaming_Process_v0.1.docx.","OTHER:internal corpus consistency","Same fix across the SOPs.","S","Red team lead","high"
"lifecycle-operations-003","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","medium","completeness-gap","Purple Team Close-Out cross-reference unversioned","Same pattern: 'see Purple Teaming Process documentation' should be pinned.","Pin to Purple_Teaming_Process_v0.1.docx.","OTHER:internal corpus consistency","Same fix as TS and Exercises.","S","Red team lead","high"
"lifecycle-operations-004","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","medium","naming-convention","'Bloodhound' (lowercase 'h') in prose; canonical is 'BloodHound'","Line 123 references 'our Bloodhound Enterprise instance' and 'evaluate findings from Bloodhound'. Vendor-canonical is 'BloodHound' (Pascal-case).","Single find/replace: Bloodhound -> BloodHound.","OTHER:internal corpus consistency","Same pattern as BH v0.3 fix; carry over to Operations.","S","Red team lead","high"
"lifecycle-physoc-004","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Process_v1.1.docx","cross-cutting","medium","completeness-gap","Purple Team Close-Out cross-reference unversioned (same pattern as cyber SOPs)","Same issue: 'see Purple Teaming Process documentation' should be pinned.","Pin to Purple_Teaming_Process_v0.1.docx.","OTHER:internal corpus consistency","Same fix.","S","Red team lead","high"
"lifecycle-physoc-quest-001","engagement-lifecycle-review","inputs/Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.0.docx","cross-cutting","medium","scope-gap","'CMDB' used as load-bearing input without definition","Line 9 references 'the company CMDB' without expanding the acronym.","Expand on first use.","OTHER:internal corpus consistency","Single text fix.","S","Red team lead","high"
"lifecycle-rtmeth-004","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","medium","missing-evidence","Purple Teaming Process cross-reference still unversioned","Line 19: 'These engagements should follow the Purple Teaming Process document.' — Purple_Teaming_Process_v0.1.docx now exists.","Pin: 'Purple_Teaming_Process_v0.1.docx'.","OTHER:internal corpus consistency","Single text change.","S","Red team lead","high"
"lifecycle-rtmeth-005","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","medium","naming-convention","'One Note' still in OPLOGS section (line 129); canonical is 'OneNote'","Three engagement SOPs were fixed but methodology was missed.","OneNote.","OTHER:internal corpus consistency","Single find/replace.","S","Red team lead","high"
"lifecycle-rtmeth-006","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","medium","completeness-gap","Codename register location not specified","v0.6 added the theme convention (good) but doesn't name where the register lives.","Name the register's location (Confluence / shared spreadsheet) for operational checkability.","OTHER:internal corpus consistency","Single addition.","S","Red team lead","high"
"lifecycle-rtmeth-008","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","medium","scope-gap","Methodology does not cover Physical & Social engagements as a fourth modality","Methodology covers only cyber. PhysicalSocial_Process v1.1 effectively orphans itself from the methodology index.","A paragraph in Introduction acknowledging Physical & Social as a fourth modality with cross-reference to PhysicalSocial_Process_v1.1.docx.","OTHER:internal corpus consistency","Cross-link methodology and PhysSoc.","S","Red team lead","high"
"lifecycle-threatscenarios-003","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","medium","safety-or-opsec","LLM-assisted scenario generation mentioned but no data-handling rules / vendor restrictions","Scenarios Description mentions operators using AI/LLMs to generate scenarios but no rule about what may be submitted to public LLMs.","An LLM usage subsection: approved vendors / on-prem models; prohibited data classes; audit retention.","OTHER:internal corpus consistency","Add the subsection.","S","Red team lead + Legal/Risk","high"
"lifecycle-threatscenarios-004","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","medium","completeness-gap","Purple-team close-out subsection added but cross-reference 'Purple Teaming Process documentation' is unversioned","Closure subsection references 'see Purple Teaming Process documentation' — the new Purple_Teaming_Process_v0.1.docx now exists but the cross-reference is not version-pinned.","Pin the cross-reference to Purple_Teaming_Process_v0.1.docx.","OTHER:internal corpus consistency","Same fix across all SOPs and methodology.","S","Red team lead","high"
"coherence-009","corpus-coherence","workdir/methodology-docs-bloodhoundenterprise-process-v0-3-docx","cross-cutting","medium","completeness-gap","AET acronym in curated vocab but still no charter doc","BH v0.3 line 134 -> 'fully managed by AET' || curated vocab now expands AET = Assessment & Exploitation Team but no charter exists.","Add an AET subsection to RedTeam_Methodology with charter and RACI.","OTHER:internal corpus consistency","Same as previous runs; still open.","M","Red team lead + AET lead","high"
"coherence-011","corpus-coherence","workdir/resources-diagrams-soc-rt-communications-drawio","cross-cutting","medium","completeness-gap","Orphan actors still present: CSIRT, L1/L2/L3, Pentest/Assessment in SOC-RT comms diagram","SOC-RT comms diagram swimlanes -> CSIRT, L1, L2, L3, Pentest/Assessment, Red Team || No engagement SOP describes their engagement-time role.","Add 'External actors and SOC interface' subsection to methodology and/or each SOP's Deconfliction section.","OTHER:internal corpus consistency","Tier 3 work. Coordinate with SOC manager.","M","Red team lead + SOC manager","high"
"lifecycle-bloodhound-001","engagement-lifecycle-review","inputs/Methodology/docs/BloodhoundEnterprise_Process_v0.3.docx","cross-cutting","medium","completeness-gap","AET expansion now in curated vocab but no charter doc defines AET's responsibilities or relationship to RT","Line 134 names AET as tenant access owner; corpus has no AET charter.","Add an AET subsection to RedTeam_Methodology with charter + RACI.","OTHER:internal corpus consistency","Document AET in the methodology.","M","Red team lead + AET lead","high"
"lifecycle-purpleteam-001","engagement-lifecycle-review","inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx","cross-cutting","medium","completeness-gap","Strong skeleton; lacks Euronext-specific role mapping (named owners / tracking forum URL)","Generic RACI defines RT/BT/WT/TI/SOC but no named owners and no concrete tracking forum link.","A Euronext-specific role mapping with named owners and tracking forum URL.","OTHER:internal corpus consistency","Customise before v1.0 promotion.","M","Red team lead","high"
"lifecycle-researchmeth-001","engagement-lifecycle-review","inputs/Methodology/docs/Research_Methodology_v0.4.docx","cross-cutting","medium","safety-or-opsec","AI Enrichment layer described but no rule about what may be submitted to public LLMs","Research Intake mentions AI Enrichment without guidance on vendor (on-prem vs public), prohibited data classes, or audit retention.","An 'AI usage policy' subsection: approved vendors / on-prem; prohibited data; audit retention.","OTHER:internal corpus consistency","Coordinate with wider Euronext AI policy if one exists.","M","Red team lead + Legal/Risk","high"
"lifecycle-rtdeck-001","engagement-lifecycle-review","inputs/Methodology/RedTeaming_v1.0.pptx","cross-cutting","medium","completeness-gap","Stakeholder deck (RedTeaming v1.0.pptx) does not reflect v0.6 methodology updates","Deck outline references older naming, does not reflect Codename theme convention, Purple-team close-out as mandatory phase, OFI glossary.","Refresh the deck in line with RedTeam_Methodology v0.6.","OTHER:internal corpus consistency","Coordinated refresh.","M","Red team lead","high"
"tlpt-exercises-002","tiber-dora-alignment","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","medium","missing-evidence","TIBER-EU artefact checklist incomplete despite improvements","Purple-Team Close-Out lists replay walkthrough, test report, joint attestation — but TIBER-EU mandates additional artefacts (Targeted TI Report, Engagement Generic Framework, RT Test Plan, Closure Report).","Expand the TIBER-EU artefacts list.","TIBER-EU:TIBER-EU v2 §3.4; DORA-TLPT:DORA RTS on TLPT","Cross-reference TIBER-EU v2 §3.4 'Reports'.","M","Red team lead + Control Team","high"
"tlpt-purpleteam-001","tiber-dora-alignment","inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx","cross-cutting","medium","regulatory-misalignment","TIBER-EU role taxonomy referenced at attestation only; not expanded with internal mapping","TLPT subsection mentions attestation roles but does not elaborate the TIBER-EU role mapping for internal use.","Role-mapping table mapping Euronext internal roles to TIBER-EU roles.","TIBER-EU:TIBER-EU v2 §3; DORA-TLPT:DORA Art. 26(2)","Cross-reference with methodology Regulatory mapping (Tier 2).","M","Red team lead + Legal/Risk","high"
"coherence-004","corpus-coherence","workdir/methodology-docs-bloodhoundenterprise-process-v0-3-docx","cross-cutting","low","naming-convention","Naming drift: 'Sharphound' (lowercase 'h') one occurrence in BH v0.3 line 7","bloodhoundenterprise v0.3 line 7 -> 'collects AD information using Sharphound' || same doc uses 'SharpHound' elsewhere.","Align to 'SharpHound'.","OTHER:internal corpus consistency","Single find/replace.","S","Red team lead","high"
"lifecycle-bloodhound-002","engagement-lifecycle-review","inputs/Methodology/docs/BloodhoundEnterprise_Process_v0.3.docx","cross-cutting","low","naming-convention","'Sharphound' (lowercase 'h') used in line 7; vendor canonical is 'SharpHound'","Line 7: 'using Sharphound' — vendor uses Pascal-case.","SharpHound.","OTHER:internal corpus consistency","Single find/replace.","S","Red team lead","high"
"lifecycle-bloodhound-003","engagement-lifecycle-review","inputs/Methodology/docs/BloodhoundEnterprise_Process_v0.3.docx","cross-cutting","low","improvement-opportunity","'SOC team should be warned' but no formal notification mechanism","Line 78 mentions SOC notification without channel, ticket type, or BAU exception process.","A short 'SOC notification' subsection naming the channel (email DL / Teams chat / ServiceNow).","OTHER:internal corpus consistency","Add the subsection.","S","Red team lead + SOC manager","high"
"lifecycle-exercises-005","engagement-lifecycle-review","inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.4.docx","exercise","low","completeness-gap","Lessons-learned capture step still absent","Same gap pattern.","Lessons-learned subsection.","OTHER:internal corpus consistency","Apply across SOPs.","S","Red team lead","high"
"lifecycle-operations-005","engagement-lifecycle-review","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","low","completeness-gap","Lessons-learned capture mechanism still not described separately","Same gap as TS — no explicit Lessons-learned / Knowledge base step naming where Operation outcomes are filed.","A Lessons-learned subsection naming the target repository.","OTHER:internal corpus consistency","Apply consistently across all SOPs.","S","Red team lead","high"
"lifecycle-purpleteam-002","engagement-lifecycle-review","inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx","cross-cutting","low","naming-convention","Versioning table credits 'Generated draft' as author","Replace placeholder author with actual person.","Author and reviewer named in Versioning table.","OTHER:internal corpus consistency","Update before v1.0.","S","Red team lead","high"
"lifecycle-purpleteam-003","engagement-lifecycle-review","inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx","cross-cutting","low","completeness-gap","References use 'vX.docx' placeholders","Pin to current filenames (v0.6, v1.4, v1.3, v1.4, v1.1).","Update references at v1.0 release.","OTHER:internal corpus consistency","Bulk find/replace.","S","Red team lead","high"
"lifecycle-researchmeth-002","engagement-lifecycle-review","inputs/Methodology/docs/Research_Methodology_v0.4.docx","cross-cutting","low","completeness-gap","Typo: 'Feeback' should be 'Feedback' (subsection heading)","Heading '### Feeback & Purple Teaming' — typo for 'Feedback'.","Spell-check fix.","OTHER:internal corpus consistency","Single character fix.","S","Red team lead","high"
"lifecycle-researchmeth-003","engagement-lifecycle-review","inputs/Methodology/docs/Research_Methodology_v0.4.docx","cross-cutting","low","improvement-opportunity","Useful Links list repository names but no live URLs / paths","Bullets list 'RT Tools Repository' / 'RT Research Repository' / 'Jira Project' / 'Research Feeder' / 'Curated feeds' without URLs.","Pin URLs (Confluence / Jira / GitLab paths).","OTHER:internal corpus consistency","Useful for new joiners.","S","Red team lead","high"
"lifecycle-threatscenarios-005","engagement-lifecycle-review","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","low","completeness-gap","Threat-hunt handover and lessons-learned capture mechanism not described separately","Purple-team close-out covers hunt-hypothesis handover and OFIs. But no separate Lessons-learned step naming where the scenario and outcomes are filed.","A Lessons-learned subsection naming the target repository (Red Team Research Repository per curated vocab).","OTHER:internal corpus consistency","One-paragraph addition.","S","Red team lead","high"
"coherence-010","corpus-coherence","workdir/methodology-redteaming-v1-0-pptx","cross-cutting","low","completeness-gap","Stakeholder deck does not reflect v0.6 methodology updates (Codename theme, Purple-team mandatory phase, OFI glossary)","redteaming v1.0 pptx has not been refreshed.","Coordinate a deck refresh next time the deck is shown.","OTHER:internal corpus consistency","Stakeholder-facing refresh.","M","Red team lead","high"
"coherence-012","corpus-coherence","workdir/methodology-docs-redteam-methodology-v0-6-docx","cross-cutting","low","ambiguity","Methodology v0.6 still uses 'TIBER-Like' rather than expanding TLPT / TIBER-EU","Line 17 -> 'TIBER-Like' || TLPT, TIBER-EU now in curated vocab with full expansions but not yet expanded in the methodology.","Expansion on first use, ideally in the pending Regulatory mapping subsection.","OTHER:internal corpus consistency","Resolves with Tier 2 Regulatory mapping work.","M","Red team lead","high"
"lifecycle-purpleteam-004","engagement-lifecycle-review","inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx","cross-cutting","informational","improvement-opportunity","Tracking forum left generic in v0.1","v0.1 says 'typically the Red Team Research Repository or the security risk register' — pin at v1.0.","Pin the forum (Confluence / Jira / shared spreadsheet).","OTHER:internal corpus consistency","Decide and pin.","S","Red team lead","high"
"lifecycle-rtmeth-010","engagement-lifecycle-review","inputs/Methodology/docs/RedTeam_Methodology_v0.6.docx","cross-cutting","informational","improvement-opportunity","v0.3 -> v0.6 closed multiple Tier 1 findings (Codename theme, Bag of Tricks, Tools repository naming, OFI glossary, Purple Team reference)","Material improvement vs prior runs. Capture as audit-trail evidence.","Maintain Versioning table with finding IDs closed per revision.","OTHER:internal corpus consistency","Continue current practice.","S","Red team lead","high"
"tlpt-operations-001","tiber-dora-alignment","inputs/Engagements/1. Operations/docs/Operations_Process_v1.3.docx","operation","informational","regulatory-misalignment","Operations correctly out of TIBER-EU / DORA TLPT scope (opportunistic assumed-breach)","Operations is opportunistic, outside TLPT scope.","Same scope statement as TS finding.","TIBER-EU:TIBER-EU v2 §1.4; DORA-TLPT:DORA Art. 26(8)","Reference the methodology's Regulatory mapping once added.","S","Red team lead + Legal/Risk","high"
"tlpt-threatscenarios-001","tiber-dora-alignment","inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.4.docx","threat-scenario","informational","regulatory-misalignment","Threat Scenarios correctly out of TIBER-EU / DORA TLPT scope (objective-oriented, BT-collaborative, internal-tool focus)","TS process is BT-collaborative, internal-tool-focused, non-stealth — correctly outside TLPT scope which requires stealth-critical kill-chain.","Methodology should state which engagement type is the TLPT vehicle (Exercises) and which are not.","TIBER-EU:TIBER-EU v2 §1.4; DORA-TLPT:DORA Art. 26(8)","Add a sentence to the methodology Regulatory mapping subsection.","S","Red team lead + Legal/Risk","high"
